院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
资源与安全学院,252,232,0.9206,83,76,0.9157,169,156,0.9231,30,24,0.8,139,132,0.9496,2025
生物工程学院,335,265,0.791,130,102,0.7846,205,163,0.7951,35,30,0.8571,170,133,0.7824,2025
新闻学院,198,161,0.8131,103,80,0.7767,95,81,0.8526,4,3,0.75,91,78,0.8571,2025
光电工程学院,341,324,0.9501,142,130,0.9155,199,194,0.9749,33,30,0.9091,166,164,0.988,2025
自动化学院,457,433,0.9475,267,245,0.9176,190,188,0.9895,19,18,0.9474,171,170,0.9942,2025
数学与统计学院,348,321,0.9224,220,199,0.9045,128,122,0.9531,14,14,1,114,108,0.9474,2025
物理学院,247,224,0.9069,157,136,0.8662,90,88,0.9778,25,25,1,65,63,0.9692,2025
药学院,130,118,0.9077,57,49,0.8596,73,69,0.9452,9,7,0.7778,64,62,0.9688,2025
重庆大学-辛辛那提大学联合学院,102,98,0.9608,102,98,0.9608,-,-,-,-,-,-,-,-,-,2025
能源与动力工程学院,425,408,0.96,232,219,0.944,193,189,0.9793,28,26,0.9286,165,163,0.9879,2025
电气工程学院,652,637,0.977,315,304,0.9651,337,333,0.9881,45,43,0.9556,292,290,0.9932,2025
体育学院,44,39,0.8864,28,24,0.8571,16,15,0.9375,-,-,-,16,15,0.9375,2025
美视电影学院,318,277,0.8711,244,212,0.8689,74,65,0.8784,-,-,-,74,65,0.8784,2025
外国语学院,180,153,0.85,121,103,0.8512,59,50,0.8475,-,-,-,59,50,0.8475,2025
博雅学院&人文社会科学高等研究院,96,79,0.8229,56,43,0.7679,40,36,0.9,-,-,-,40,36,0.9,2025
医学院,95,79,0.8316,-,-,-,95,79,0.8316,4,4,1,91,75,0.8242,2025
国家卓越工程师学院,24,24,1.0,24,24,1,-,-,-,-,-,-,-,-,-,2025
法学院,369,324,0.878,145,118,0.8138,224,206,0.9196,15,15,1,209,191,0.9139,2024
马克思主义学院,44,40,0.9091,-,-,-,44,40,0.9091,2,2,1,42,38,0.9048,2024
建筑城规学院,458,399,0.8712,217,178,0.8203,241,221,0.917,7,6,0.8571,234,215,0.9188,2024
环境与生态学院,439,427,0.9727,196,191,0.9745,243,236,0.9712,27,26,0.963,216,210,0.9722,2024
化学化工学院,376,347,0.9229,167,143,0.8563,209,204,0.9761,43,41,0.9535,166,163,0.9819,2024
艺术学院,293,237,0.8089,237,185,0.7806,56,52,0.9286,-,-,-,56,52,0.9286,2024
